no,sample,tissue,plant,stage,BR,A,B,C,D,E,F,G,H,I,J,pulp_wt_mg,pulp_wt_g,insert_wt,insert_extract,extract_wt_g,extract_wt_mg,A_corr,B_corr,C_corr,D_corr,E_corr,F_corr,G_corr,H_corr,I_corr,J_corr,A_pdw,B_pdw,C_pdw,D_pdw,E_pdw,F_pdw,G_pdw,H_pdw,I_pdw,J_pdw
23,P.12.4,P,12,4,62040,15038,12760,5134,12377,20981,18688,11529,2986,2895,1487,10.02,0.01002,0.58706,0.58767,0.00061,0.61,0.222193479,0.188534965,0.07585725,0.182875961,0.310004082,0.276123936,0.170346364,0.044119546,0.042774978,0.02197112,0.34942421,0.296492414,0.119294048,0.28531503,0.487516249,0.434235911,0.267888796,0.069382943,0.067268459,0.034552055
24,P.12.6,P,12,6,66526,9653,7404,4056,4056,12456,10519,892,1126,1126,624,10.09,0.01009,0.58761,0.58799,0.00038,0.38,0.133009884,0.102020634,0.055888127,0.055888127,0.171632768,0.144942605,0.012290979,0.015515294,0.015515294,0.008598173,0.207721835,0.159325854,0.087280614,0.087194197,0.268039281,0.226357193,0.019194849,0.024230269,0.024230269,0.013427787
25,P.13.1,P,13,1,101309,103510,14497,27099,27099,4362,4156,12487,12487,5521,3226,9.98,0.00998,0.59347,0.59397,5.00E-04,0.5,0.936585217,0.131172601,0.245198752,0.245198752,0.039468503,0.037604561,0.112985601,0.112985601,0.049955434,0.029189681,1.478788828,0.20711044,0.387148087,0.382548307,0.062317427,0.059374421,0.178394707,0.178394707,0.078875404,0.046088037
26,P.13.2,P,13,2,138495,138177,13339,22637,22561,7990,6531,7870,408,6624,8176,9.98,0.00998,0.59146,0.59205,0.00059,0.59,0.914565223,0.088288105,0.14982966,0.149326632,0.052884171,0.04322735,0.052089916,0.002700468,0.043842897,0.054115267,1.444021121,0.13939945,0.236568359,0.232972843,0.083499633,0.068252328,0.082245571,0.004263811,0.069224226,0.085443429
27,P.13.3,P,13,3,98644,93080,6671,15240,16147,119012,115813,6770,5007,12006,3571,9.95,0.00995,0.58653,0.58714,0.00061,0.61,0.864965366,0.061991663,0.141620887,0.150049374,1.1059439,1.076216523,0.062911641,0.046528595,0.111568266,0.033184264,1.369824853,0.098174706,0.224281594,0.234100434,1.751456762,1.704378231,0.099631653,0.073686217,0.17668798,0.052553122
28,P.13.4,P,13,4,110158,26285,3611,10035,24205,48107,47870,10335,5126,7718,2938,10.1,0.0101,0.59286,0.5935,0.00064,0.64,0.21872829,0.030048615,0.08350536,0.201419755,0.400318122,0.398345948,0.086001783,0.042655553,0.064224651,0.024448306,0.341250257,0.046880528,0.13028139,0.314246242,0.624558726,0.621481826,0.1341762,0.066549318,0.100200475,0.038143171
29,P.13.5,P,13,5,175480,32294,5481,11928,18555,3931,52656,12090,6418,4441,3059,10,0.01,0.58327,0.58383,0.00056,0.56,0.168696951,0.028631572,0.062309322,0.096927353,0.020534703,0.275063685,0.063155575,0.03352626,0.023198834,0.015979562,0.265825499,0.045116417,0.098184386,0.151221792,0.032357715,0.433433686,0.099517876,0.052829258,0.036555739,0.025179916
30,P.13.6,P,13,6,114310,10167,5640,13174,8534,23719,20173,6258,4710,2846,1687,10.01,0.01001,0.58998,0.59078,8.00E-04,0.8,0.081530784,0.045228054,0.105644393,0.068435498,0.190206419,0.161770483,0.050183893,0.037770236,0.022822525,0.01352832,0.128344406,0.071197251,0.166303649,0.106770054,0.299419786,0.254656408,0.078998652,0.059457279,0.03592684,0.021296057
31,P.15.1,P,15,1,113142,5897,132,6603,6603,25030,21819,3858,3858,6109,5334,9.97,0.00997,0.59675,0.59716,0.00041,0.41,0.047777156,0.001069456,0.053497128,0.053497128,0.202791626,0.176776288,0.031257295,0.031257295,0.049494768,0.043215762,0.075511751,0.001690275,0.084552161,0.083463865,0.320511976,0.279394759,0.049402126,0.049402126,0.078226435,0.068302472
32,P.15.2,P,15,2,89974,49099,39692,3372,2740,213530,1609,4099,3861,668,41997,10.06,0.01006,0.57889,0.57965,0.00076,0.76,0.500228736,0.404388664,0.034354494,0.027915573,2.175478973,0.016392758,0.04176129,0.039336507,0.006805695,0.427872385,0.783537993,0.633417993,0.053811485,0.04355265,3.40758198,0.025676951,0.06541319,0.061615108,0.010660164,0.670201941
33,P.15.3,P,15,3,121491,18356,321,18372,18372,82516,73120,5589,5589,15744,15657,10,0.01,0.58975,0.59038,0.00063,0.63,0.138499103,0.002421999,0.138619826,0.138619826,0.622597079,0.551702681,0.042169944,0.042169944,0.118791124,0.118134695,0.218241011,0.003816483,0.21843124,0.216268555,0.981062064,0.869349679,0.066449608,0.066449608,0.187186014,0.18615164
34,P.15.4,P,15,4,141342,1485,808,7760,11170,11170,9392,2678,5352,7361,8149,10.02,0.01002,0.58133,0.58212,0.00079,0.79,0.00963093,0.005240264,0.050327286,0.072442755,0.072442755,0.060911581,0.017368102,0.034710262,0.047739581,0.052850135,0.01514572,0.008240904,0.079145311,0.113022,0.113924372,0.095790304,0.027313292,0.054585787,0.075075855,0.083112776
35,P.16.1,P,16,1,132091,7115,518,1730,1730,5478,69684,12070,40691,12034,106,10,0.01,0.58193,0.58239,0.00046,0.46,0.049375862,0.003594757,0.012005656,0.012005656,0.038015597,0.483585046,0.083762004,0.282382743,0.083512176,0.000735607,0.077804389,0.005664466,0.018918003,0.018730696,0.059903365,0.762012799,0.131988613,0.444966747,0.131594943,0.001159138
36,P.16.2,P,16,2,117412,2638,281,13625,13625,28556,23590,2049,4952,24885,5657,9.96,0.00996,0.58581,0.58644,0.00063,0.63,0.020595642,0.00219385,0.10637438,0.10637438,0.222945087,0.184174065,0.015997145,0.03866172,0.194284511,0.044165862,0.032584074,0.003470859,0.168293409,0.165960629,0.352718282,0.291379195,0.025308858,0.061166162,0.307374788,0.069874188
37,P.16.3,P,16,3,246921,17742,2572,5768,25785,3061,50587,11980,7087,7283,8413,10.09,0.01009,0.5774,0.57849,0.00109,1.09,0.065865435,0.009548298,0.021413134,0.095724284,0.011363662,0.187799277,0.044474575,0.026309793,0.027037423,0.031232438,0.102862199,0.014911598,0.03344094,0.149344818,0.017746657,0.293286555,0.069456045,0.041088062,0.042224405,0.048775768
38,P.16.4,P,16,4,96248,3468,217,18075,18075,3353,34428,3083,3083,6370,7106,10.07,0.01007,0.59571,0.59655,0.00084,0.84,0.033029378,0.002066717,0.17214706,0.17214706,0.031934113,0.32789372,0.029362622,0.029362622,0.060668148,0.067677843,0.051684501,0.003234007,0.269376399,0.268576272,0.049970626,0.513089388,0.045946746,0.045946746,0.094933757,0.105902556
